date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:16	4507/4507	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2000:47:16%20GMT	http://dkrmds.com/robots.txt		(from )
09:47:17	32007/32007	---MC-	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2000:47:16%20GMT	http://dkrmds.com/	C:/My%20Web%20Sites/webd/dkrmds.com/index.html	(from )
09:47:18	20345/20345	---M--	200	added ('OK')	image/png	etag:%224f79-606df5e8c7180%22	http://dkrmds.com/favicon.png	C:/My%20Web%20Sites/webd/dkrmds.com/favicon.png	(from http://dkrmds.com/)
09:47:18	11890/11890	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2026%20Jun%202024%2000:47:18%20GMT	https://kit.fontawesome.com/02d769ca5f.js	C:/My%20Web%20Sites/webd/kit.fontawesome.com/02d769ca5f.js	(from http://dkrmds.com/)
09:47:18	18451/18451	---M-Z	200	added ('OK')	text/css	etag:W/%224813-cVRgrthAcZRLwmt8seVl8+0QciE%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	(from http://dkrmds.com/)
09:47:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2000:47:18%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.3.delayed	(from http://dkrmds.com/)
09:47:19	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from http://dkrmds.com/)
09:47:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2000:47:18%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.5.delayed	(from http://dkrmds.com/)
09:47:19	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from http://dkrmds.com/)
09:47:19	18060/18060	---M--	200	added ('OK')	text/css	etag:%22468c-606df5f52cec0%22	http://dkrmds.com/css/style.css	C:/My%20Web%20Sites/webd/dkrmds.com/css/style.css	(from http://dkrmds.com/)
09:47:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2000:47:19%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/webd/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.9.delayed	(from http://dkrmds.com/)
09:47:21	2776/2776	---M--	200	added ('OK')	application/javascript	etag:%22ad8-6076d018b4cc0%22	http://dkrmds.com/js/common.js	C:/My%20Web%20Sites/webd/dkrmds.com/js/common.js	(from http://dkrmds.com/)
